instrument_id,local_symbol,live_symbol
272,CRUDE OI-USD_272,CL.AUG22
273,CRUDE OI-USD_273,CL.SEP22
274,CRUDE OI-USD_274,CL.OCT22
275,CRUDE OI-USD_275,CL.NOV22
276,CRUDE OI-USD_276,CL.DEC22
277,CRUDE OI-USD_277,CL.JAN23
278,CRUDE OI-USD_278,CL.FEB23
279,CRUDE OI-USD_279,CL.MAR23
280,CRUDE OI-USD_280,CL.APR23
281,CRUDE OI-USD_281,CL.MAY23
282,CRUDE OI-USD_282,CL.JUN23
283,CRUDE OI-USD_283,CL.JUL23
284,CRUDE OI-USD_284,CL.AUG23
285,CRUDE OI-USD_285,CL.SEP23
286,CRUDE OI-USD_286,CL.OCT23
287,CRUDE OI-USD_287,CL.NOV23
288,CRUDE OI-USD_288,CL.DEC23
289,CRUDE OI-USD_289,CL.JAN24
290,CRUDE OI-USD_290,CL.FEB24
291,CRUDE OI-USD_291,CL.MAR24
292,CRUDE OI-USD_292,CL.APR24
293,CRUDE OI-USD_293,CL.MAY24
294,CRUDE OI-USD_294,CL.JUN24
295,CRUDE OI-USD_295,CL.JUL24
296,CRUDE OI-USD_296,CL.AUG24
297,CRUDE OI-USD_297,CL.SEP24
298,CRUDE OI-USD_298,CL.OCT24
299,CRUDE OI-USD_299,CL.NOV24
300,CRUDE OI-USD_300,CL.DEC24
301,SI(E_301,SGX
302,FTN,Drm.Index22
303,FTI,Drm.Index23
304,FPI,Drm.Index24
305,N5I,NIFTY50
306,FCHI,CHINAH50.FUT
307,MSF,MSCISGX.FUT
308,VS2F,VIX.SEP
309,VU,VIXsub
310,R2I,RTY
311,ORANGE J-USD,OJ.FUT
312,1YT,10yUS.FUT
313,5YT,5yUS.FUT
314,2YT,2yUS.FUT
315,BFC,BTC.Fut
316,EFC,ETH.Fut
317,SOYBEANS-USD,SoyOil.FUT
318,SOYBEANS-USD_318,SoyMeal.FUT
319,EURO NAT-USD,EuroNatGas.FUT
320,MDF,DAX.MICRO
321,I4G,Italy40
322,S2G,Switzerland20
323,N5IF,NIFTY50.FUT
324,OATS (EX-USD,OATS.FUT
325,ROUGH RI-USD,RICE.FUT
326,ILSUSD=X,ILSUSD
327,FCA,CHINAA50.FUT
328,USDILSold=X,USDILS_OLD
329,EURILS=X,EURILS-old
330,GBPILS=X,GBPILS_olddd
331,CORN (EX-USD,Corn.FUT
332,SOYBEANS-USD_332,Soybeans.FUT
333,CARBON E-USD,Carbon.FUT
334,COFFEE A-USD,Coffee.FUT
335,GASOLINE-USD,Gasoline.FUT
336,HEATING -USD,HeatingOil.FUT
337,LIVE CAT-USD,LiveCattle.FUT
338,LEAN HOG-USD,LeanHogs.FUT
339,LEAD (NO-USD,LEAD
340,ZINC (NO-USD,ZINC
341,BRENT OI-USD,EuroOIL
342,GOLD HED-USD,Gold.Hedge
343,NICKEL (-USD,Nickel
344,ALUMINUM-USD_344,Aluminum
345,KWDUSD=X,KWDUSD
346,BHDUSD=X,BHDUSD
347,OMRUSD=X,OMRUSD
348,USDSAR=X,USDSAR
349,AEDUSD=X,AEDUSD
350,EURUSD_TradeConversion=X,EURUSD_conversion
351,GPBUSD_TradeConversion=X,GBPUSD_conversion
352,USDHKD_TradeConversion=X,USDHKD_conversion
353,N2I,NL25
354,MICRO E--USD,SPX.MICRO
355,MICRO E--USD_355,Nasdaq.MICRO
356,E-MINI N-USD,NATGAS.MICRO
357,SILVER.H-USD,Silver Hedge
358,NATURAL -USD_358,NG.MAY23
359,NATURAL -USD_359,NG.JUN23
360,NATURAL -USD_360,NG.JUL23
361,NATURAL -USD_361,NG.AUG23
362,NATURAL -USD_362,NG.SEP23
363,NATURAL -USD_363,NG.OCT23
364,NATURAL -USD_364,NG.NOV23
365,NATURAL -USD_365,NG.DEC23
366,NATURAL -USD_366,NG.JAN24
367,NATURAL -USD_367,NG.FEB24
368,NATURAL -USD_368,NG.MAR24
369,NATURAL -USD_369,NG.APR24
370,NATURAL -USD_370,NG.MAY24
371,NATURAL -USD_371,NG.JUN24
372,NATURAL -USD_372,NG.JUL24
373,NATURAL -USD_373,NG.AUG24
