instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
7053,SUN.ASX,SGL.AX,SUN.AX,5,RESCUED (applied)
7054,GPT.ASX,GG.AX_7054,GPT.AX,5,RESCUED (applied)
7055,IAG.ASX,IAGL.AX,IAG.AX,5,RESCUED (applied)
7056,MGR.ASX,MG.AX,MGR.AX,5,RESCUED (applied)
7058,CPU.ASX,CL.AX_7058,CPU.AX,5,RESCUED (applied)
7059,DMP.ASX,DPEL.AX,DMP.AX,5,RESCUED (applied)
7060,LTR.ASX,LL.AX,LTR.AX,5,RESCUED (applied)
7061,REA.ASX,RGL.AX,REA.AX,5,RESCUED (applied)
7062,APA.ASX,AG.AX,APA.AX,5,RESCUED (applied)
7063,COH.ASX,CL.AX_7063,COH.AX,5,RESCUED (applied)
7065,ILU.ASX,IRL.AX,ILU.AX,5,RESCUED (applied)
7067,VCX.ASX,VC.AX,VCX.AX,5,RESCUED (applied)
7068,JBH.ASX,JHL.AX,JBH.AX,5,RESCUED (applied)
7069,SEK.ASX,SL.AX_7069,SEK.AX,5,RESCUED (applied)
7070,WOR.ASX,WL.AX_7070,WOR.AX,5,RESCUED (applied)
7071,SDF.ASX,SGL.AX_7071,SDF.AX,5,RESCUED (applied)
7072,EDV.ASX,EGL.AX,EDV.AX,5,RESCUED (applied)
7075,VUL.ASX,VERL.AX,VUL.AX,5,RESCUED (applied)
7076,CXO.ASX,CLL.AX,CXO.AX,5,RESCUED (applied)
7079,WJL.ASX,WGL.AX_7079,WJL.AX,5,RESCUED (applied)
7080,VTS.ASX,TTE.PA_7080,VTS.AX,5,RESCUED (applied)
7081,STW.ASX,SS2E.AX,STW.AX,5,RESCUED (applied)
7082,VHY.ASX,VAS.AX_7082,VHY.AX,5,RESCUED (applied)
7083,GOLD.ASX,GXPG.AX,GOLD.AX,5,RESCUED (applied)
7084,IOO.ASX,IG1E.AX,IOO.AX,5,RESCUED (applied)
7085,VEU.ASX,VAE.AX,VEU.AX,5,RESCUED (applied)
7090,SFR.ASX,SRL.AX,SFR.AX,5,RESCUED (applied)
7092,SUL.ASX,SRGL.AX,SUL.AX,5,RESCUED (applied)
7094,ELV.ASX,ELL.AX,ELV.AX,5,RESCUED (applied)
7097,RWC.ASX,RWCL.AX,RWC.AX,5,RESCUED (applied)
7098,PPT.ASX,PL.AX,PPT.AX,5,RESCUED (applied)
7100,SGM.ASX,SL.AX_7100,SGM.AX,5,RESCUED (applied)
7101,TLX.ASX,TPL.AX,TLX.AX,5,RESCUED (applied)
7103,MP1.ASX,ML.AX_7103,MP1.AX,5,RESCUED (applied)
7104,NIC.ASX,NIL.AX,NIC.AX,5,RESCUED (applied)
7105,PDN.ASX,PEL.AX,PDN.AX,5,RESCUED (applied)
7106,ORA.ASX,OL.AX_7106,ORA.AX,5,RESCUED (applied)
7107,HLS.ASX,HL.AX,HLS.AX,5,RESCUED (applied)
7108,WEB.ASX,WL.AX_7108,WEB.AX,5,RESCUED (applied)
7110,RGN.ASX,RG.AX,RGN.AX,5,RESCUED (applied)
7111,PXA.ASX,PGL.AX_7111,PXA.AX,5,RESCUED (applied)
7112,ELD.ASX,EL.AX,ELD.AX,5,RESCUED (applied)
7113,IRE.ASX,IL.AX_7113,IRE.AX,5,RESCUED (applied)
7114,LKE.ASX,LRN.AX,LKE.AX,5,RESCUED (applied)
7115,APE.ASX,EAL.AX,APE.AX,5,RESCUED (applied)
7117,BGL.ASX,BGL.AX_7117,BGL.AX,5,RESCUED (applied)
7120,HUB.ASX,HL.AX_7120,HUB.AX,5,RESCUED (applied)
7121,ARB.ASX,ACL.AX,ARB.AX,5,RESCUED (applied)
7122,CIP.ASX,CIR.AX,CIP.AX,5,RESCUED (applied)
7123,KAR.ASX,KEL.AX,KAR.AX,5,RESCUED (applied)
7125,GNC.ASX,GL.AX,GNC.AX,5,RESCUED (applied)
7126,SYR.ASX,SRL.AX_7126,SYR.AX,5,RESCUED (applied)
7127,IPH.ASX,IL.AX_7127,IPH.AX,5,RESCUED (applied)
7129,BAP.ASX,BL.AX_7129,BAP.AX,5,RESCUED (applied)
7131,NAN.ASX,NL.AX_7131,NAN.AX,5,RESCUED (applied)
7135,DRR.ASX,DRL.AX,DRR.AX,5,RESCUED (applied)
7136,PNV.ASX,PL.AX_7136,PNV.AX,5,RESCUED (applied)
7137,FBU.ASX,FBL.AX,FBU.AX,5,RESCUED (applied)
7138,INA.ASX,ICG.AX,INA.AX,5,RESCUED (applied)
7139,NWH.ASX,NHL.AX_7139,NWH.AX,5,RESCUED (applied)
7140,CMM.ASX,CML.AX_7140,CMM.AX,5,RESCUED (applied)
7141,HDN.ASX,HDNR.AX,HDN.AX,5,RESCUED (applied)
7144,NUF.ASX,NL.AX_7144,NUF.AX,5,RESCUED (applied)
7145,WPR.ASX,WR.AX,WPR.AX,5,RESCUED (applied)
7146,CQR.ASX,CHRR.AX,CQR.AX,5,RESCUED (applied)
7149,CCP.ASX,CCGL.AX,CCP.AX,5,RESCUED (applied)
7150,MND.ASX,MGL.AX_7150,MND.AX,5,RESCUED (applied)
7152,WAF.ASX,WARL.AX,WAF.AX,5,RESCUED (applied)
