instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
2952,UBSGE.ZU,UBSG.SW,UBSGE.SW,5,RESCUED (applied)
2953,LISN.ZU,CL&.SW_2953,LISN.SW,5,RESCUED (applied)
2954,SQN.ZU,SGHS.SW,SQN.SW,5,RESCUED (applied)
2961,PPGN.ZU,PGA.SW,PPGN.SW,5,RESCUED (applied)
2966,EQT.ST,EA.ST_2966,EQT.ST,5,RESCUED (applied)
2967,SAVE.ST,NA(.ST,SAVE.ST,5,RESCUED (applied)
2970,DONE.ST,DGA.ST,DONE.ST,5,RESCUED (applied)
2971,COFFEEB.ST,CSGA.ST,COFFEE-B.ST,5,RESCUED (applied)
2972,LUMI.ST,LMC.ST,LUMI.ST,5,RESCUED (applied)
2973,LUG.ST,LGI.ST,LUG.ST,5,RESCUED (applied)
2974,SHBB.ST,SHA.ST,SHB-B.ST,5,RESCUED (applied)
2975,ENITY.ST,EHA.ST,ENITY.ST,5,RESCUED (applied)
2976,SSABB.ST,SA.ST_2976,SSAB-B.ST,5,RESCUED (applied)
2980,IMC.MC,INMOCE,IMC.MC,5,RESCUED (applied)
2992,LTMC.MI,LGS.MI,LTMC.MI,4,RESCUED (applied)
2993,SPM.MI,SS.MI,SPM.MI,3,RESCUED (applied)
2994,NEXI.MI,NS.MI,NEXI.MI,4,RESCUED (applied)
2995,IVG.MI,IGN.MI,IVG.MI,4,RESCUED (applied)
2996,BMPS.MI,BMD.MI,BMPS.MI,3,RESCUED (applied)
2998,BMED.MI,BMS.MI,BMED.MI,3,RESCUED (applied)
2999,INW.MI,IWIS.MI,INW.MI,4,RESCUED (applied)
3031,TPRO.MI,TS.MI_3031,TPRO.MI,4,RESCUED (applied)
3032,BC.MI,BCS.MI,BC.MI,4,RESCUED (applied)
3033,ICOP.MI,ISS.MI,ICOP.MI,4,RESCUED (applied)
3037,4IG.BD,4N,4IG.BD,5,RESCUED (applied)
3053,PLX.PA,PFS.PA,PLX.PA,5,RESCUED (applied)
3069,SOMA.OL,SMHA,SOMA.OL,5,RESCUED (applied)
3186,CAPT.OL,CTC,CAPT.OL,5,RESCUED (applied)
3211,ZEAL.CO,ZPA.CO,ZEAL.CO,5,RESCUED (applied)
3222,NKT.CO,NA.CO,NKT.CO,5,RESCUED (applied)
3240,BAVA.CO,BNA.CO,BAVA.CO,5,RESCUED (applied)
3261,TRMD-A.CO,TP.CO,TRMD-A.CO,5,RESCUED (applied)
3262,ALSYDB.CO,AS.CO,ALSYDB.CO,5,RESCUED (applied)
3263,ALKB.CO,AAA.CO,ALK-B.CO,5,RESCUED (applied)
3264,DNORD.CO,DNA.CO,DNORD.CO,5,RESCUED (applied)
3265,GUBRA.CO,GA.CO_3265,GUBRA.CO,5,RESCUED (applied)
3266,CHEMM.CO,CA.CO,CHEMM.CO,5,RESCUED (applied)
3268,GREENM.CO,GA.CO_3268,GREENM.CO,5,RESCUED (applied)
3269,CBRAIN.CO,CA.CO_3269,CBRAIN.CO,5,RESCUED (applied)
3270,HH.CO,HIA.CO,HH.CO,5,RESCUED (applied)
3272,MANTA.HE,MHO,MANTA.HE,5,RESCUED (applied)
3289,ANTIN.PA,AIPS.PA,ANTIN.PA,5,RESCUED (applied)
3290,AVIO.MI,AS.MI,AVIO.MI,4,RESCUED (applied)
3346,ANY.BD,ASP,ANY.BD,5,RESCUED (applied)
3380,BIF.BD,BIH,BIF.BD,5,RESCUED (applied)
3382,GSPARK.BD,GPS,GSPARK.BD,4,RESCUED (applied)
3385,MTELEKOM.BD,MTTP,MTELEKOM.BD,4,RESCUED (applied)
3389,IITB.MI,IIGB.MI,IITB.MI,5,RESCUED (applied)
3390,BTP10.MI,LE1.MI,BTP10.MI,5,RESCUED (applied)
3391,BTP13.MI,LE1.MI_3391,BTP13.MI,5,RESCUED (applied)
3392,XBOT.MI,XIG0.MI,XBOT.MI,5,RESCUED (applied)
3404,OPUS.BD,OGN,OPUS.BD,5,RESCUED (applied)
3405,OTP.BD,OBN,OTP.BD,5,RESCUED (applied)
3407,RABA.BD,RJHN,RABA.BD,5,RESCUED (applied)
3435,WABERERS.BD,WIN,WABERERS.BD,4,RESCUED (applied)
3436,ZWACK.BD,ZUN,ZWACK.BD,5,RESCUED (applied)
3438,BIRG.IR,BOI,BIRG.IR,4,RESCUED (applied)
3446,PTSB.IR,PTG,PTSB.IR,4,RESCUED (applied)
3447,IRES.IR,IRP,IRES.IR,5,RESCUED (applied)
3448,KMR.IR,KRP,KMR.IR,3,RESCUED (applied)
3455,CEZ.PR,CA,CEZ.PR,5,RESCUED (applied)
3458,KOFOL.PR,KCA,KOFOL.PR,5,RESCUED (applied)
3460,MONET.PR,MMBA,MONET.PR,5,RESCUED (applied)
3461,PEN.PR,PEN,PEN.PR,5,RESCUED (applied)
3462,TABAK.PR,PMCA,TABAK.PR,5,RESCUED (applied)
3463,VIG.PR,VIGA,VIG.PR,5,RESCUED (applied)
3464,ADKO.VI,ABA,ADKO.VI,4,RESCUED (applied)
3466,AMAG.VI,AAMA,AMAG.VI,4,RESCUED (applied)
3467,ANDR.VI,D3_3467,ANDR.VI,5,RESCUED (applied)
3468,ATS.VI,A&S,ATS.VI,5,RESCUED (applied)
3469,BG.VI,BGA,BG.VI,5,RESCUED (applied)
3470,CAI.VI,CIAA,CAI.VI,5,RESCUED (applied)
3472,EBS.VI,D3_3472,EBS.VI,5,RESCUED (applied)
3474,FACC.VI,D3_3474,FACC.VI,5,RESCUED (applied)
3475,FKA.VI,FHA,FKA.VI,4,RESCUED (applied)
3476,FLU.VI,FWA,FLU.VI,5,RESCUED (applied)
3477,FQT.VI,FA,FQT.VI,5,RESCUED (applied)
3479,KTCG.VI,KTA,KTCG.VI,5,RESCUED (applied)
3480,LNZ.VI,D3_3480,LNZ.VI,5,RESCUED (applied)
3481,MARI.VI,MBA,MARI.VI,5,RESCUED (applied)
3482,MMK.VI,D3_3482,MMK.VI,5,RESCUED (applied)
3483,OMV.VI,D3_3483,OMV.VI,5,RESCUED (applied)
3484,PAL.VI,PA,PAL.VI,5,RESCUED (applied)
3486,POST.VI,OPA,POST.VI,5,RESCUED (applied)
3487,POS.VI,D3_3487,POS.VI,5,RESCUED (applied)
3488,PYT.VI,PHA,PYT.VI,5,RESCUED (applied)
3489,RBI.VI,D3_3489,RBI.VI,5,RESCUED (applied)
3490,RHIM.VI,RMN,RHIM.VI,5,RESCUED (applied)
3491,ROS.VI,D3_3491,ROS.VI,5,RESCUED (applied)
3493,SEM.VI,D3_3493,SEM.VI,5,RESCUED (applied)
3496,TKA.VI,D3_3496,TKA.VI,5,RESCUED (applied)
3497,UBS.VI,UDA,UBS.VI,5,RESCUED (applied)
3498,UQA.VI,D3_3498,UQA.VI,5,RESCUED (applied)
3499,VER.VI,D3_3499,VER.VI,5,RESCUED (applied)
3500,VOE.VI,VA,VOE.VI,5,RESCUED (applied)
3501,WIE.VI,D3_3501,WIE.VI,5,RESCUED (applied)
3502,WOL.VI,WA,WOL.VI,4,RESCUED (applied)
