id,ts,level,worker,message
94710,"2026-09-05 20:18:03",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94711,"2026-09-05 20:18:04",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94712,"2026-09-05 20:18:06",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94713,"2026-09-05 20:18:06",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94714,"2026-09-05 20:18:07",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94715,"2026-09-05 20:18:08",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94727,"2026-09-05 20:23:01",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94728,"2026-09-05 20:23:01",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94729,"2026-09-05 20:23:02",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94730,"2026-09-05 20:23:02",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94731,"2026-09-05 20:23:03",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94732,"2026-09-05 20:23:03",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94733,"2026-09-05 20:23:04",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94734,"2026-09-05 20:23:04",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94735,"2026-09-05 20:23:05",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94736,"2026-09-05 20:23:06",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94737,"2026-09-05 20:23:07",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94738,"2026-09-05 20:23:09",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94739,"2026-09-05 20:23:09",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94740,"2026-09-05 20:23:10",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94741,"2026-09-05 20:23:11",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94742,"2026-09-05 20:27:55",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94743,"2026-09-05 20:27:56",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94744,"2026-09-05 20:27:56",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94745,"2026-09-05 20:27:57",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94746,"2026-09-05 20:27:57",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94747,"2026-09-05 20:27:58",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94748,"2026-09-05 20:27:58",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
94749,"2026-09-05 20:27:59",INFO,discord_embeds,"P14 Position Closed: CAR.AX $0.00 PnL=folgt"
